,audio0,audio1,audio2,audio3,audio4,audio5,audio6,audio7,audio8,audio9,audio10,audio11
asr,1.3211829662322998,2.1534600257873535,1.2753682136535645,1.387934923171997,1.3135180473327637,1.8573808670043945,2.1696739196777344,1.2221131324768066,2.1781530380249023,1.2311508655548096,2.7687971591949463,2.221705913543701
Local Whisper tiny,1.795689344406128,2.2477948665618896,1.8678219318389893,1.8275988101959229,1.8090147972106934,1.7327470779418945,2.0947210788726807,1.6674108505249023,2.042799234390259,1.3406901359558105,2.694526195526123,2.241091012954712
Local Whisper base,2.898348808288574,3.6540889739990234,2.8410511016845703,2.8187410831451416,3.0760929584503174,3.2948100566864014,3.365457773208618,2.7564709186553955,3.9876601696014404,2.2411208152770996,4.501128911972046,3.910949945449829
Local Whisper small,9.535513877868652,12.850288152694702,9.785734176635742,9.756061792373657,10.108765125274658,9.983253002166748,10.700562953948975,8.87563419342041,11.169989824295044,8.326637029647827,14.085629224777222,12.659010887145996
Local Whisper medium,22.839349031448364,32.06099605560303,23.49155879020691,24.388925075531006,25.308772802352905,25.368635892868042,27.767081260681152,23.64791202545166,37.16131520271301,19.055160760879517,37.130890130996704,30.051307201385498
Local Whisper large,38.155508041381836,48.5975182056427,35.334349155426025,37.65433406829834,36.18939423561096,39.197978019714355,52.15817713737488,44.20224094390869,62.010974168777466,36.08076286315918,71.05084800720215,59.49414825439453
API gpt-4o-mini-transcribe,8.125890970230103,7.714015960693359,5.121214151382446,5.840183734893799,4.7570648193359375,6.915364027023315,6.653515100479126,5.430889129638672,7.1827311515808105,4.282812833786011,8.324581861495972,6.318757057189941
API gpt-4o-transcribe,5.828597068786621,8.194060802459717,6.142466068267822,6.481414079666138,5.504724979400635,8.086348056793213,7.883635997772217,6.349064111709595,7.200286865234375,4.575762033462524,8.912729978561401,8.358330965042114
API whisper-1,5.667979955673218,8.47854995727539,6.817320108413696,6.610732078552246,7.476629972457886,8.160001039505005,9.75985598564148,5.834709167480469,6.655366897583008,4.931153774261475,11.557846784591675,8.476952075958252
CLOVA API,9.80955171585083,12.268119812011719,7.599102973937988,7.147140264511108,7.3262999057769775,10.712406873703003,10.240108013153076,8.70516300201416,12.165371894836426,6.132633209228516,12.41996693611145,10.342782974243164
